year,make,model,trim,body,transmission,vin,branch,condition,odometer,color,interior,seller,marketprice,sellingprice,saledate
2012,Nissan,Sentra,2.0 SR,sedan,,3n1ab6ap9cl702826,JAKARTA,25.0,35314.0,black,gray,nissan-infiniti lt,210700000.0,191350000.0,Thu May 28 2018 06:00:00 GMT-0700 (PDT)
2011,Nissan,Sentra,2.0 SR,Sedan,automatic,3n1ab6apxbl688661,BALIKPAPAN,34.0,54811.0,silver,gray,exeter finance corp,167700000.0,193500000.0,Tue Dec 30 2018 15:00:00 GMT-0800 (PST)
2010,Lexus,GS 350,Base,Sedan,automatic,jthbe1ks1a0048394,BALIKPAPAN,38.0,68675.0,black,black,r m hollenshead auto sales inc,427850000.0,430000000.0,Wed Feb 04 2019 02:00:00 GMT-0800 (PST)
2013,Dodge,Dart,SXT,Sedan,manual,1c3cdfbh4dd118952,SURABAYA,33.0,19034.0,white,black,chrysler capital,269825000.0,258000000.0,Thu Mar 05 2019 04:00:00 GMT-0800 (PST)
2002,Volvo,C70,LT,Convertible,automatic,yv1nc56d32j026684,MEDAN,,131459.0,white,tan,a&a enterprise,17200000.0,21500000.0,Thu Dec 18 2019 11:00:00 GMT-0800 (PST)
2005,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl38775b077832,SURABAYA,2.0,144755.0,gray,gray,charitable auto resource,102125000.0,94600000.0,Tue Jan 13 2018 12:00:00 GMT-0800 (PST)
2012,Dodge,Challenger,SXT,Coupe,automatic,2c3cdyag9ch257657,SURABAYA,33.0,11825.0,black,black,ford-lincoln dealer program,402050000.0,432150000.0,Thu May 21 2018 03:00:00 GMT-0700 (PDT)
2004,Toyota,Camry,XLE,Sedan,automatic,4t1be30k74u278577,MEDAN,33.0,69749.0,silver,beige,germain toyota of naples/germain scion of naples,138137500.0,176300000.0,Thu Jan 08 2019 02:00:00 GMT-0800 (PST)
2014,Dodge,Journey,SXT,suv,automatic,3c4pdcbg0et178340,JAKARTA,34.0,22922.0,red,black,enterprise vehicle exchange/davenport,341850000.0,365500000.0,Thu Jun 11 2019 03:30:00 GMT-0700 (PDT)
2013,GMC,Terrain,SLT-2,SUV,automatic,2gkalwek1d6348495,MEDAN,43.0,38972.0,black,black,avis corporation,399900000.0,406350000.0,Wed Feb 04 2019 02:30:00 GMT-0800 (PST)
2011,Nissan,Altima Hybrid,Base,sedan,,1n4cl2ap6bc157194,SURABAYA,36.0,46903.0,blue,black,tj auto,254775000.0,253700000.0,Fri May 29 2018 02:15:00 GMT-0700 (PDT)
2004,Ford,Focus,ZTS,Sedan,automatic,1fafp38z84w134029,MEDAN,,115567.0,silver,gray,momentum motors,37087500.0,38700000.0,Thu Dec 18 2018 11:00:00 GMT-0800 (PST)
2011,Mercedes-Benz,C-Class,C300 Sport,Sedan,automatic,wddgf5eb3ba521544,JAKARTA,38.0,40006.0,red,black,mercedes-benz financial services,384850000.0,382700000.0,Tue May 26 2019 02:30:00 GMT-0700 (PDT)
2012,Nissan,Altima,2.5 S,Sedan,,1n4al2ap9cc130211,SURABAYA,32.0,44832.0,black,black,nissan-infiniti lt,247250000.0,230050000.0,Fri Jan 16 2018 01:00:00 GMT-0800 (PST)
2013,Ford,Escape,SEL,SUV,automatic,1fmcu9h94dud57992,BALIKPAPAN,49.0,31789.0,red,gray,ford-lincoln dealer program,424625000.0,427850000.0,Thu Feb 05 2019 02:00:00 GMT-0800 (PST)
2011,Nissan,Maxima,3.5 S,Sedan,automatic,1n4aa5ap0bc858716,SURABAYA,42.0,52041.0,burgundy,tan,santander consumer,320350000.0,333250000.0,Mon Mar 02 2018 01:30:00 GMT-0800 (PST)
2012,Jeep,Liberty,Limited,SUV,automatic,1c4pjlck7cw147847,MEDAN,46.0,50103.0,black,black,wells fargo dealer services,310675000.0,318200000.0,Thu Mar 05 2018 02:00:00 GMT-0800 (PST)
2012,Ram,3500,Laramie,Crew Cab,automatic,3c63d3el7cg120259,BALIKPAPAN,49.0,29691.0,black,tan,gentry motor co inc,898700000.0,898700000.0,Tue Feb 10 2018 03:00:00 GMT-0800 (PST)
2004,BMW,3 Series,325xi,Sedan,,wbaeu334x4pr07004,BALIKPAPAN,19.0,146357.0,white,black,jpmorgan chase bank n.a.,63962500.0,53750000.0,Fri May 29 2019 01:28:00 GMT-0700 (PDT)
2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae9dh421459,MEDAN,39.0,28833.0,gray,beige,merchants leasing,252625000.0,249400000.0,Wed Feb 18 2019 02:00:00 GMT-0800 (PST)
2014,Kia,Soul,+,wagon,automatic,kndjp3a55e7070541,JAKARTA,39.0,23561.0,blue,black,kia motors america  inc,280575000.0,283800000.0,Fri Jun 05 2018 05:00:00 GMT-0700 (PDT)
2014,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sb6e7188886,BALIKPAPAN,42.0,37363.0,red,black,avis corporation,251550000.0,251550000.0,Tue Mar 03 2018 03:00:00 GMT-0800 (PST)
2013,Mercedes-Benz,S-Class,S550,Sedan,automatic,wddng7db4da525476,MEDAN,42.0,31150.0,black,brown,mercedes-benz financial services,1167450000.0,1161000000.0,Thu Dec 18 2019 11:00:00 GMT-0800 (PST)
2013,Ford,Escape,SE,suv,automatic,1fmcu0gx2duc08332,MEDAN,44.0,31630.0,—,gray,ars/ford-lincoln dealer program,332175000.0,335400000.0,Wed Jun 17 2018 03:00:00 GMT-0700 (PDT)
2013,Hyundai,Elantra,GLS,sedan,automatic,kmhdh4ae8du792713,SURABAYA,37.0,32677.0,silver,gray,hyundai motor finance,228975000.0,232200000.0,Wed Jun 03 2018 03:30:00 GMT-0700 (PDT)
2004,BMW,X5,4.4i,SUV,automatic,5uxfb53594lv07491,SURABAYA,38.0,136969.0,gray,black,pye auto sales,99975000.0,113950000.0,Thu Jan 08 2018 10:00:00 GMT-0800 (PST)
2004,Ford,Explorer Sport Trac,XLT,Crew Cab,,1fmzu67k04ua47609,JAKARTA,3.0,74328.0,silver,gray,hertz remarketing,142975000.0,165550000.0,Tue Jan 06 2018 03:00:00 GMT-0800 (PST)
2007,Kia,Spectra,EX,Sedan,automatic,knafe121275395641,MEDAN,19.0,114143.0,blue,gray,dt credit corporation,57512500.0,51600000.0,Wed Jan 07 2019 10:30:00 GMT-0800 (PST)
2005,Cadillac,Escalade,Base,SUV,automatic,1gyek63n75r188846,SURABAYA,3.0,134989.0,turquoise,beige,alans autos,178987500.0,169850000.0,Fri Feb 20 2019 09:00:00 GMT-0800 (PST)
2012,Lincoln,MKT,Base,Wagon,automatic,2lmhj5at8cbl52851,MEDAN,24.0,31836.0,black,black,ford motor credit company llc pd,543950000.0,494500000.0,Thu Feb 19 2018 04:30:00 GMT-0800 (PST)
2013,Ford,Fiesta,SE,Hatchback,automatic,3fadp4ej3dm147380,BALIKPAPAN,34.0,59736.0,silver,black,ford-lincoln dealer program,171462500.0,178450000.0,Fri Feb 27 2019 01:00:00 GMT-0800 (PST)
2013,Kia,Soul,Base,Wagon,manual,kndjt2a53d7768019,MEDAN,27.0,44692.0,white,gray,chrysler capital,204250000.0,172000000.0,Thu May 21 2018 03:30:00 GMT-0700 (PDT)
2014,Kia,Rio,LX,Sedan,automatic,knadm4a32e6386279,SURABAYA,38.0,5209.0,black,gray,kia motors america  inc,251550000.0,245100000.0,Thu Feb 12 2019 01:30:00 GMT-0800 (PST)
2013,Ford,Escape,SE,SUV,automatic,1fmcu9gx0dua54207,BALIKPAPAN,41.0,33775.0,gray,gray,jenkins hyundai,378400000.0,290250000.0,Tue Mar 10 2019 02:30:00 GMT-0700 (PDT)
2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg6er297755,JAKARTA,4.0,9.0,white,tan,fca us llc,449350000.0,516000000.0,Mon Jun 08 2018 05:30:00 GMT-0700 (PDT)
2013,Jeep,Wrangler,Unlimited Sahara,suv,automatic,1c4hjweg6dl508793,BALIKPAPAN,43.0,34821.0,black,black,wells fargo dealer services,606300000.0,599850000.0,Tue Jun 02 2018 02:30:00 GMT-0700 (PDT)
2012,Chevrolet,Equinox,LS,SUV,automatic,2gnflcek9c6142699,MEDAN,43.0,83716.0,silver,gray,wheels exchange llc,239725000.0,268750000.0,Wed Jan 07 2018 12:30:00 GMT-0800 (PST)
2011,Mercedes-Benz,S-Class,S550,Sedan,automatic,wddng7bb2ba395908,MEDAN,33.0,38192.0,—,black,mercedes-benz finc wholesale advantage,847100000.0,838500000.0,Thu Feb 12 2019 04:30:00 GMT-0800 (PST)
2002,Hyundai,Santa Fe,GLS,suv,automatic,km8sc73d72u222954,BALIKPAPAN,2.0,146176.0,silver,gray,purple heart,27412500.0,6987500.0,Tue Jun 16 2018 06:01:00 GMT-0700 (PDT)
2013,Volkswagen,Passat,SE PZEV,Sedan,automatic,1vwbp7a38dc095026,SURABAYA,39.0,37767.0,—,black,avis corporation,282725000.0,275200000.0,Tue Mar 10 2018 03:15:00 GMT-0700 (PDT)
2014,Ford,Mustang,V6,Coupe,automatic,1zvbp8am6e5292054,JAKARTA,2.0,11148.0,white,black,enterprise vehicle exchange / tra / rental / tulsa,400975000.0,277350000.0,Thu Mar 05 2019 00:30:00 GMT-0800 (PST)
2014,Jeep,Compass,Sport,SUV,automatic,1c4njdbb5ed777475,MEDAN,4.0,17195.0,gray,black,pv holding inc/gdp,355825000.0,346150000.0,Thu Jan 22 2018 01:30:00 GMT-0800 (PST)
2013,Ford,Fusion,SE,Sedan,automatic,3fa6p0h97dr162602,MEDAN,41.0,34995.0,blue,black,ford motor credit company llc,309600000.0,328950000.0,Thu Dec 18 2018 09:00:00 GMT-0800 (PST)
2010,Ford,Transit Connect,Cargo Van XLT,Minivan,automatic,nm0ls6bn6at042155,SURABAYA,43.0,77050.0,white,gray,northwestern chrys/j/d/ge,204787500.0,251550000.0,Wed Feb 04 2018 04:30:00 GMT-0800 (PST)
2014,Dodge,Journey,SXT,SUV,automatic,3c4pddbg3et271441,MEDAN,46.0,17055.0,white,black,enterprise vehicle exchange/davenport,387000000.0,393450000.0,Thu Jan 15 2018 02:30:00 GMT-0800 (PST)
2000,Toyota,Camry,CE,Sedan,automatic,4t1bg22k7yu978395,SURABAYA,2.0,112603.0,white,beige,darcars toyota,48375000.0,36550000.0,Tue Jan 27 2019 01:30:00 GMT-0800 (PST)
2013,Ford,Fusion,SE,Sedan,automatic,3fa6p0h90dr105027,MEDAN,41.0,34656.0,silver,beige,ford motor credit company llc,322500000.0,316050000.0,Wed Jan 07 2019 09:00:00 GMT-0800 (PST)
2011,GMC,Acadia,Denali,SUV,automatic,1gkkrted3bj244089,MEDAN,4.0,97215.0,white,gray,carl black chevrolet buick gmc,422475000.0,451500000.0,Tue Jun 02 2018 02:30:00 GMT-0700 (PDT)
2014,Chevrolet,Silverado 1500,LTZ,Double Cab,automatic,1gcvksec0ez290533,JAKARTA,44.0,24734.0,burgundy,gray,remarketing by ge/larry h miller-fleet lease,647150000.0,651450000.0,Thu Jan 15 2019 01:30:00 GMT-0800 (PST)
2013,Cadillac,XTS,Premium,sedan,automatic,2g61s5s33d9163887,SURABAYA,34.0,34793.0,white,tan,flag/capital eurocars inc,576200000.0,623500000.0,Wed May 27 2018 03:00:00 GMT-0700 (PDT)
2003,,,,,automatic,2c4gp243x3r304103,SURABAYA,1.0,154758.0,silver,gray,remarketing by ge/gaia llc,19350000.0,10750000.0,Mon Feb 02 2018 01:30:00 GMT-0800 (PST)
2002,Ford,Windstar,SE,Minivan,,2fmza52482bb61114,SURABAYA,28.0,166648.0,blue,gray,bergeys chrysler jeep dodge,18812500.0,22575000.0,Tue Feb 17 2018 01:30:00 GMT-0800 (PST)
2009,Chevrolet,HHR,LT,Wagon,automatic,3gnca23b59s549208,BALIKPAPAN,31.0,101638.0,black,gray,dt credit corporation,99437500.0,77400000.0,Wed Dec 31 2018 10:30:00 GMT-0800 (PST)
2004,Mercury,Mountaineer,Premier,SUV,automatic,4m2du86w44uj19095,MEDAN,2.0,113540.0,gold,gray,credit acceptance corp/vrs/southfield,76862500.0,55900000.0,Tue Feb 10 2019 01:30:00 GMT-0800 (PST)
2005,Chevrolet,TrailBlazer,LS,suv,automatic,1gnds13s452278532,MEDAN,27.0,138617.0,blue,gray,santander consumer,55362500.0,62350000.0,Mon Jun 08 2018 02:30:00 GMT-0700 (PDT)
2006,Cadillac,CTS,Base,Sedan,automatic,1g6dp577960116872,SURABAYA,25.0,122203.0,blue,beige,ourismans rockmont chevrolet,87612500.0,98900000.0,Thu May 28 2018 02:35:00 GMT-0700 (PDT)
2012,Subaru,Impreza,2.0i Sport Premium PZEV,Hatchback,automatic,jf1gpal60ch209492,MEDAN,37.0,30509.0,blue,brown,jpmorgan chase bank n.a.,334325000.0,313900000.0,Wed Feb 11 2019 01:30:00 GMT-0800 (PST)
2011,Lexus,LS 460,Base,Sedan,,jthbl5ef2b5103371,JAKARTA,45.0,68655.0,blue,beige,r hollenshead auto sales inc,629950000.0,650375000.0,Fri Feb 27 2018 01:00:00 GMT-0800 (PST)
2004,Honda,Civic,Value Package,Sedan,automatic,1hges16304l006653,JAKARTA,32.0,146379.0,turquoise,beige,hendrick hyundai north,67187500.0,79550000.0,Tue Feb 17 2019 02:00:00 GMT-0800 (PST)
2012,Ford,Mustang,V6,Coupe,automatic,1zvbp8am3c5253046,MEDAN,38.0,35812.0,white,beige,lexus of las vegas,289175000.0,253700000.0,Fri Jan 23 2019 03:45:00 GMT-0800 (PST)
2001,Subaru,Outback,L.L. Bean Edition,wagon,automatic,4s3bh806517655879,JAKARTA,21.0,209721.0,blue,tan,statewide wholesale ltd,38700000.0,23650000.0,Wed Jun 17 2018 03:30:00 GMT-0700 (PDT)
2014,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk7eu406570,BALIKPAPAN,42.0,11202.0,blue,black,toyota motor sales usa inc/program,363350000.0,376250000.0,Tue Feb 03 2018 01:30:00 GMT-0800 (PST)
2012,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar9cm671410,BALIKPAPAN,44.0,31578.0,silver,beige,nissan infiniti lt,423550000.0,408500000.0,Wed Mar 04 2018 01:00:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar2dm353825,JAKARTA,44.0,16522.0,gray,black,nissan infiniti lt,475150000.0,494500000.0,Wed May 27 2018 02:30:00 GMT-0700 (PDT)
2008,Chevrolet,Silverado 1500,LS,Extended Cab,automatic,1gcek19j68z259763,BALIKPAPAN,27.0,104265.0,black,black,daylight auto financing inc,292400000.0,279500000.0,Thu Feb 05 2019 02:00:00 GMT-0800 (PST)
2007,Honda,Odyssey,EX-L,Minivan,,5fnrl38787b452131,SURABAYA,44.0,74113.0,burgundy,beige,mid atlantic auto inc,207475000.0,277350000.0,Fri Feb 27 2019 01:00:00 GMT-0800 (PST)
2011,Chevrolet,Malibu,LT1,Sedan,automatic,1g1zc5eu9bf185052,JAKARTA,44.0,60426.0,red,black,automobiles paille inc,191350000.0,199950000.0,Thu Feb 12 2018 01:30:00 GMT-0800 (PST)
2014,Dodge,Journey,SE,suv,automatic,3c4pdcab3et150621,BALIKPAPAN,35.0,14800.0,silver,black,sunrise volkswagen inc,312825000.0,301000000.0,Wed Jun 03 2018 02:30:00 GMT-0700 (PDT)
2002,Ford,Explorer,XLT,suv,automatic,1fmzu73e72uc15216,JAKARTA,21.0,143070.0,blue,beige,dab auto world & leasing,37087500.0,45150000.0,Thu Jun 11 2018 03:00:00 GMT-0700 (PDT)
2013,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk4du705626,SURABAYA,41.0,41954.0,blue,gray,avis corporation,291325000.0,296700000.0,Wed Feb 25 2019 02:15:00 GMT-0800 (PST)
2014,Ford,F-150,XLT,SuperCrew,automatic,1ftfw1ef0efb17934,SURABAYA,38.0,28118.0,—,gray,ars/enterprise,591250000.0,582650000.0,Wed Feb 04 2018 02:00:00 GMT-0800 (PST)
2014,Chrysler,Town and Country,Touring,Minivan,,2c4rc1bg4er386580,MEDAN,5.0,18336.0,white,black,fca canada inc,539650000.0,602000000.0,Tue Apr 14 2019 03:00:00 GMT-0700 (PDT)
2012,Nissan,Sentra,2.0 SR,Sedan,automatic,3n1ab6ap0cl697077,MEDAN,43.0,49610.0,—,gray,nissan-infiniti lt,196187500.0,197800000.0,Wed May 27 2019 02:30:00 GMT-0700 (PDT)
2011,Buick,LaCrosse,CXL,Sedan,,1g4gc5ed7bf245081,BALIKPAPAN,46.0,39115.0,beige,beige,financialinx,262300000.0,290250000.0,Tue Feb 17 2018 02:00:00 GMT-0800 (PST)
2006,Chevrolet,Silverado 2500HD,LT3,Crew Cab,automatic,1gchk23d66f226427,SURABAYA,24.0,198574.0,white,gray,manheim dallas,273050000.0,279500000.0,Tue Jan 20 2018 03:00:00 GMT-0800 (PST)
2011,BMW,X5,xDrive35i,suv,,5uxzv4c57bl741155,BALIKPAPAN,45.0,34012.0,black,beige,r hollenshead auto sales inc,612750000.0,602000000.0,Fri Jun 19 2019 02:00:00 GMT-0700 (PDT)
2003,Toyota,Matrix,XR,Wagon,automatic,2t1kr32e63c017131,MEDAN,1.0,1.0,blue,gray,charitable auto resource,98900000.0,23650000.0,Tue Feb 24 2018 05:00:00 GMT-0800 (PST)
2012,Chevrolet,Equinox,LS,SUV,,2gnalbek4c6192186,MEDAN,45.0,18552.0,silver,black,ge fleet services for itself/servicer,317125000.0,320350000.0,Fri Jan 02 2019 09:00:00 GMT-0800 (PST)
2003,Chevrolet,Suburban,1500 LS,SUV,automatic,3gnfk16z93g191974,MEDAN,19.0,198651.0,black,gray,national remarketing service,75250000.0,34400000.0,Mon Mar 23 2019 02:30:00 GMT-0700 (PDT)
2009,Hyundai,Azera,Limited,Sedan,automatic,kmhfc46f99a381466,MEDAN,25.0,91862.0,blue,black,jpmorgan chase bank n.a.,168775000.0,120400000.0,Thu Jan 15 2018 03:00:00 GMT-0800 (PST)
2013,Jeep,Grand Cherokee,Overland,SUV,automatic,1c4rjfct4dc600179,BALIKPAPAN,48.0,35107.0,gray,black,valone ford lincoln inc,677250000.0,662200000.0,Wed Mar 04 2019 01:00:00 GMT-0800 (PST)
2003,Toyota,Highlander,Limited,SUV,,jtegf21a630110275,SURABAYA,28.0,168979.0,white,gray,pm standley motorcars,113412500.0,150500000.0,Wed Feb 04 2018 02:20:00 GMT-0800 (PST)
2007,Pontiac,G6,Base,Sedan,automatic,1g2zg58n574144568,SURABAYA,2.0,134094.0,gray,black,orlando kia west,70412500.0,66650000.0,Tue Mar 03 2019 10:00:00 GMT-0800 (PST)
2004,Infiniti,G35,Base,Coupe,automatic,jnkcv54ex4m306895,BALIKPAPAN,2.0,110354.0,silver,beige,lucky imports,151575000.0,161250000.0,Wed Jan 28 2018 04:30:00 GMT-0800 (PST)
2014,Ford,Edge,Limited,SUV,,2fmdk4kc7eba76035,BALIKPAPAN,47.0,10393.0,white,black,ford motor company of canada,728850000.0,692300000.0,Tue Jun 02 2018 03:00:00 GMT-0700 (PDT)
2011,Ford,F-250 Super Duty,Lariat,Crew Cab,automatic,1ft7w2btxbeb70517,MEDAN,36.0,46924.0,black,black,larry hudson chevrolet buick gmc inc,827750000.0,774000000.0,Thu Mar 05 2018 01:30:00 GMT-0800 (PST)
2009,Audi,Q7,4.2 Prestige quattro,suv,automatic,wa1av74l49d018729,JAKARTA,37.0,104154.0,white,gray,momentum motorcars,381625000.0,404200000.0,Thu Jun 18 2018 03:00:00 GMT-0700 (PDT)
2014,Ford,Escape,SE,SUV,automatic,1fmcu0gx3eub81336,JAKARTA,48.0,14138.0,gray,gray,ford motor credit company,391300000.0,399900000.0,Tue Mar 03 2018 01:50:00 GMT-0800 (PST)
2012,Chevrolet,Cruze,Eco,Sedan,automatic,1g1pj5sc3c7165089,BALIKPAPAN,34.0,81212.0,silver,black,lease plan usa,180062500.0,195650000.0,Tue Feb 24 2018 01:15:00 GMT-0800 (PST)
2011,Porsche,Cayenne,Base,suv,,wp1aa2a28bla01880,SURABAYA,43.0,63243.0,gray,tan,adcock brothers inc,752500000.0,731000000.0,Fri Jun 05 2018 02:00:00 GMT-0700 (PDT)
2011,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap2bc844283,JAKARTA,44.0,18998.0,silver,black,nissan-infiniti lt,383775000.0,412800000.0,Wed Feb 04 2018 01:00:00 GMT-0800 (PST)
2010,Kia,Optima,SX,Sedan,automatic,knagh4a81a5451961,BALIKPAPAN,37.0,104938.0,gray,black,gm financial,136525000.0,161250000.0,Tue Mar 03 2019 02:30:00 GMT-0800 (PST)
2008,Mitsubishi,Lancer,GTS,Sedan,automatic,ja3au86u68u014554,JAKARTA,19.0,132978.0,silver,gray,par north america,93525000.0,103200000.0,Thu Jan 08 2019 02:00:00 GMT-0800 (PST)
2014,,,,,automatic,1c3cdfbh7ed871604,SURABAYA,2.0,9157.0,—,black,pv holding inc/gdp,295625000.0,292400000.0,Tue Jun 16 2018 05:30:00 GMT-0700 (PDT)
2012,Kia,Optima,EX,Sedan,,5xxgn4a77cg038900,MEDAN,35.0,33098.0,beige,tan,kia motors finance,321425000.0,294550000.0,Fri Feb 20 2018 01:00:00 GMT-0800 (PST)
2004,GMC,Envoy XL,SLT,suv,automatic,1gket16s046116589,MEDAN,29.0,213861.0,white,gray,credit acceptance corp/vrs/southfield,39775000.0,23650000.0,Wed Jun 10 2018 05:30:00 GMT-0700 (PDT)
2012,Infiniti,M,M37x,Sedan,automatic,jn1by1ar6cm393751,MEDAN,36.0,34812.0,—,black,nissan infiniti lt,535350000.0,516000000.0,Wed May 27 2018 02:30:00 GMT-0700 (PDT)
2010,Mercedes-Benz,GLK-Class,GLK350 4MATIC,SUV,automatic,wdcgg8hb7af498110,SURABAYA,41.0,50423.0,black,black,r hollenshead auto sales inc,442900000.0,446125000.0,Fri Jan 23 2019 01:00:00 GMT-0800 (PST)
2013,Ford,F-150,FX4,SuperCrew,automatic,1ftfw1etxdkd92691,MEDAN,46.0,20836.0,black,black,ford motor credit company llc,743900000.0,793350000.0,Thu Feb 05 2018 03:00:00 GMT-0800 (PST)
2011,Land Rover,Range Rover Sport,HSE,SUV,automatic,salsk2d40ba705107,BALIKPAPAN,43.0,39678.0,white,beige,johnson lexus of raleigh,784750000.0,817000000.0,Tue Mar 10 2019 05:00:00 GMT-0700 (PDT)
2012,Ford,Taurus,SEL,Sedan,automatic,1fahp2ew2cg126837,MEDAN,41.0,35831.0,white,gray,ford motor credit company llc,310675000.0,307450000.0,Wed Jan 14 2019 02:00:00 GMT-0800 (PST)
2011,Ford,F-150,XLT,SuperCrew,automatic,1ftfw1ef6bfa66435,SURABAYA,34.0,101321.0,black,gray,excell auto center,384850000.0,301000000.0,Wed Jan 07 2019 11:30:00 GMT-0800 (PST)
2009,Nissan,Maxima,3.5 SV,sedan,,1n4aa51e09c801683,JAKARTA,23.0,104781.0,white,gray,bmw of sterling,215000000.0,187050000.0,Fri Jun 12 2018 02:00:00 GMT-0700 (PDT)
2009,Kia,Sorento,LX,SUV,automatic,kndjc735695870895,MEDAN,43.0,72032.0,silver,gray,young motors llc,189200000.0,204250000.0,Tue Feb 17 2018 01:30:00 GMT-0800 (PST)
2013,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sb7d7167463,MEDAN,35.0,21519.0,silver,black,northeast leasing,254775000.0,238650000.0,Wed Mar 04 2019 01:30:00 GMT-0800 (PST)
2003,Toyota,Corolla,S,sedan,automatic,2t1br32e13c113118,MEDAN,19.0,238377.0,blue,purple,burns kull inc,41387500.0,21500000.0,Wed May 27 2019 02:30:00 GMT-0700 (PDT)
2013,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap3dc831576,JAKARTA,36.0,53350.0,silver,black,the hertz corporation,308525000.0,307471500.0,Tue May 26 2018 02:30:00 GMT-0700 (PDT)
2007,BMW,3 Series,328xi,Sedan,automatic,wbavc935x7kx56861,MEDAN,28.0,90894.0,black,brown,manheim northstar minnesota,191887500.0,187050000.0,Thu Mar 05 2019 02:45:00 GMT-0800 (PST)
2007,Chevrolet,Malibu,LS,Sedan,automatic,1g1zs58f37f316984,JAKARTA,21.0,96598.0,silver,gray,800cash247,89225000.0,86000000.0,Thu Mar 05 2018 04:00:00 GMT-0800 (PST)
2004,Cadillac,DeVille,Base,Sedan,automatic,1g6kd54y04u192189,BALIKPAPAN,25.0,72432.0,gold,beige,remarketing by ge/flagship credit acceptance,70950000.0,43000000.0,Tue Jan 20 2019 05:10:00 GMT-0800 (PST)
2014,Ford,Fusion,SE,Sedan,automatic,3fa6p0h76er171789,JAKARTA,47.0,41279.0,gray,black,avis corporation,302075000.0,298850000.0,Wed Feb 18 2018 01:30:00 GMT-0800 (PST)
2003,Dodge,Ram Pickup 1500,SLT,Quad Cab,automatic,1d7ha18d23j588212,SURABAYA,28.0,147077.0,black,gray,tycon enterprises,77937500.0,92450000.0,Tue Jan 13 2018 12:30:00 GMT-0800 (PST)
2008,Lexus,RX 350,Base,SUV,automatic,2t2gk31u48c038372,SURABAYA,32.0,42197.0,green,tan,central florida auto gallery inc,318200000.0,348300000.0,Tue Dec 30 2018 09:00:00 GMT-0800 (PST)
2005,Chevrolet,Equinox,LT,SUV,automatic,2cndl63f456195283,MEDAN,25.0,180431.0,—,gray,hendrick chevrolet cadillac,54287500.0,58050000.0,Wed Mar 04 2019 06:00:00 GMT-0800 (PST)
